# LineSegmentMap
# a.x a.y b.x b.y
 -9.575000  -6.175000  -6.675000 -10.075000
 -6.675000 -10.075000  -3.375000 -10.825000
 -3.375000 -10.825000   2.975000 -10.825000
  2.975000 -10.825000   7.425000  -8.925000
  7.425000  -8.925000   9.825000  -3.875000
  9.825000  -3.875000  10.475000   1.525000
 10.475000   1.525000   8.775000   6.275000
  8.775000   6.275000   5.625000   8.875000
  5.625000   8.875000   0.375000  10.275000
  0.375000  10.275000  -2.425000   9.125000
 -2.425000   9.125000  -8.075000   7.575000
 -8.075000   7.575000  -9.425000   6.225000
 -9.425000   6.225000 -10.875000   0.375000
-10.875000   0.375000  -9.575000  -6.175000
 -6.475000   4.425000  -3.575000   6.175000
 -3.575000   6.175000  -7.175000   0.775000
 -7.175000   0.775000  -6.475000   4.425000
 -7.025000  -3.775000  -5.975000  -3.775000
 -5.975000  -3.775000  -6.025000  -5.175000
 -6.025000  -5.175000  -7.325000  -4.575000
 -7.325000  -4.575000  -7.025000  -3.775000
 -0.875000  -6.975000  -2.275000  -7.475000
 -2.275000  -7.475000  -1.375000  -8.125000
 -1.375000  -8.125000  -0.875000  -6.975000
  5.325000  -6.475000   4.825000  -4.375000
  4.825000  -4.375000   3.575000  -4.525000
  3.575000  -4.525000   2.875000  -5.925000
  2.875000  -5.925000   5.325000  -6.475000
  7.875000  -1.525000   6.775000   3.275000
  6.775000   3.275000   4.575000   5.475000
  4.575000   5.475000   2.375000   6.875000
  2.375000   6.875000   2.125000   6.575000
  2.125000   6.575000   6.075000   2.825000
  6.075000   2.825000   7.075000  -1.325000
  7.075000  -1.325000   7.875000  -1.525000
 -1.575000   2.775000   0.175000   4.925000
  0.175000   4.925000   0.975000   3.575000
  0.975000   3.575000  -0.525000   1.525000
 -0.525000   1.525000  -1.575000   2.775000
 -1.525000  -1.025000  -1.025000  -2.825000
 -1.025000  -2.825000   0.275000  -1.225000
  0.275000  -1.225000  -1.525000  -1.025000
